DBA,ADDRESS,LON,LAT,BORO,ZIPCODE,CUISINE DESCRIPTION,VIOLATION POINTS,GRADE,GRADE DATE
SALUD ES RIQUEZA (Herbal Life),"2321 Westchester Avenue, Bronx New York 10462",-73.8475218,40.8361064,BRONX,10462,"Juice, Smoothies, Fruit Salads",12,A,1/31/2015
CROWN FRIED CHICKEN,"1181 Sutter Avenue, Brooklyn New York 11208",-73.9149919,40.6856577,BROOKLYN,11208,Chicken,11,A,1/30/2015
Homewood Suites by Hilton New York Midtown Manhattan Times Square,"312 W 37Th St, Manhattan New York 10018",-73.993082,40.754269,MANHATTAN,10018,American ,11,A,1/30/2015
SHRINE/YATENGA,"22712269 7 Avenue, Manhattan New York 10030",-73.9441041,40.8149317,MANHATTAN,10030,African,19,Z,1/30/2015
Sugar Factory,"620 Atlantic Ave, Brooklyn New York 11217",-73.9752615,40.6829896,BROOKLYN,11217,Café/Coffee/Tea,5,A,1/30/2015
HEALTHIER YOU FOODS,"2259 Church Avenue, Brooklyn New York 11226",-73.956868,40.6507409,BROOKLYN,11226,"Juice, Smoothies, Fruit Salads",10,A,1/29/2015
POPEYES,"219-03 North Conduit Avenue, Queens New York 11413",-73.9353207,40.6967637,QUEENS,11413,American ,10,A,1/29/2015
Lucky Luna,"167 Nassau Avenue, Brooklyn New York 11222",-73.9465232,40.7253379,BROOKLYN,11222,Mexican,12,A,1/29/2015
CHICKEN DELICIOUS,"286 Kings Highway, Brooklyn New York 11223",-73.9798842,40.6049957,BROOKLYN,11223,Chicken,8,A,1/29/2015
JOHN MULLIGAN'S FIRESIDE PUB,"4272 Katonah Avenue, Bronx New York 10470",-73.8672049,40.8977501,BRONX,10470,American ,9,A,1/29/2015
BURRITO SHOP,"5975 Broadway, Bronx New York 10463",-73.8982921,40.889657,BRONX,10463,Tex-Mex,2,A,1/29/2015
El Paso Mexican Grill,"1610 Newkirk Avenue, Brooklyn New York 11226",-73.9620701,40.6358448,BROOKLYN,11226,Mexican,11,A,1/29/2015
THE GLOBE TAVERN,"4910 Skillman Ave, Queens New York 11377",-73.9147416,40.7460578,QUEENS,11377,Irish,8,A,1/29/2015
CHINA FORTUNE FAST FOOD,"106-15 Jamaica Avenue, Queens New York 11418",-73.8406667,40.695495,QUEENS,11418,Chinese,11,A,1/29/2015
PP BOY JAPAN,"9022 161 Street, Queens New York 11432",-73.799165,40.7047762,QUEENS,11432,Japanese,17,B,1/28/2015
BUONA PIZZA RESTAURANT,"3213 Beach Channel Dr, Queens New York 11691",-73.7659962,40.5979135,QUEENS,11691,Pizza,9,A,1/28/2015
KFC,"5223 5Th Ave, Missing New York 11220",-73.9859414,40.6195067,BROOKLYN,11220,Chicken,9,A,1/28/2015
TBAAR,"136-20 Roosevelt Ave, Queens New York 11354",-73.8290528,40.7593211,QUEENS,11354,"Juice, Smoothies, Fruit Salads",11,A,1/26/2015
KORYODANG BAKERY & CAFE,"248-12 Northern Boulevard, Queens New York 11362",-73.7386373,40.7671006,QUEENS,11362,Bakery,6,A,1/26/2015
ONIS RESTAURANT,"226 Willis Ave, Bronx New York 10454",-73.9229632,40.808536,BRONX,10454,Spanish,9,A,1/26/2015
BLOOMBERG QUEENS METRO PANTRY,"6626 Metropolitan Ave, Queens New York 11379",-73.8739982,40.7132343,QUEENS,11379,Other,2,A,1/23/2015
BHATTI INDIAN GRILL,"100 Lexington Ave, Manhattan New York 10016",-73.98309,40.74222,MANHATTAN,10016,Indian,10,A,1/23/2015
STARBUCKS COFFEE,"393 3 Avenue, Manhattan New York 10016",-74.2350788,40.5216609,MANHATTAN,10016,Café/Coffee/Tea,2,A,1/23/2015
POTBELLY SANDWICH SHOP,"127 Fulton Street, Manhattan New York 10038",-74.0072501,40.7102428,MANHATTAN,10038,American ,12,A,1/23/2015
CHIRPING CHICKEN,"1219 1 Avenue, Manhattan New York 10065",-73.9591949,40.763969,MANHATTAN,10065,Chicken,9,A,1/22/2015
STARBUCKS (JFK terminal 5-post security departure),"Terminal 5 Jfk International Airport, Queens New York 11430",-73.7872911,40.6428689,QUEENS,11430,Café/Coffee/Tea,2,A,1/22/2015
LA STRADA RESTAURANT,"139 New Dorp Lane, Staten Island New York 10306",-74.11557,40.573835,STATEN ISLAND,10306,Italian,9,A,1/22/2015
NEW CHOI HEE CHINESE,"426 Bay Street, Staten Island New York 10304",-74.0763212,40.6317757,STATEN ISLAND,10304,Chinese,9,A,1/22/2015
SHARON'S ROTI SHOP,"18004 Hillside Ave, Queens New York 11432",-73.7810817,40.7133704,QUEENS,11432,Caribbean,7,A,1/22/2015
A & S PIZZERIA,"87 Stuyvesant Place, Staten Island New York 10301",-74.0775165,40.643984,STATEN ISLAND,10301,Pizza/Italian,10,A,1/22/2015
STROKOS PIZZA DELI,"888 10 Avenue, Manhattan New York 10019",-73.987822,40.769557,MANHATTAN,10019,American ,12,A,1/21/2015
NEW FOO SHUN RESTAURANT,"2538 Pitkin Avenue, Brooklyn New York 11208",-73.8785638,40.6742357,BROOKLYN,11208,Chinese,8,A,1/21/2015
MI ESPIGUITA,"3244 31St St, Queens New York 11106",-73.926523,40.76096,QUEENS,11106,Mexican,7,A,1/21/2015
SMITH & WOLLENSKY,"201 East 49 Street, Manhattan New York 10017",-73.9704988,40.7552269,MANHATTAN,10017,American ,11,A,1/21/2015
LOS TAQUITOS DEL TIO,"3215 Junction Blvd, Queens New York 11369",-73.8742886,40.7582099,QUEENS,11369,Spanish,5,A,1/21/2015
PANDA GARDEN,"14701 Union Tpke, Queens New York 11367",-73.8150849,40.718486,QUEENS,11367,Chinese,9,A,1/21/2015
MCDONALD'S,"300 East 204 Street, Bronx New York 10467",-73.8670955,40.8640754,BRONX,10467,Hamburgers,9,A,1/21/2015
IMPERIAL RESTAURANT DELI,"2456 Williamsbridge Road, Bronx New York 10469",-73.8576972,40.862139,BRONX,10469,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11,A,1/21/2015
HEIGHTS TAVERN,"3910 Broadway, Manhattan New York 10032",-73.9414519,40.8381598,MANHATTAN,10032,American ,12,A,1/21/2015
ROOTS,"639 5Th Ave, Brooklyn New York 11215",-73.9916909,40.6629883,BROOKLYN,11215,Café/Coffee/Tea,2,A,1/21/2015
MARTHITA'S BAR & GRILL,"1183 Broadway, Brooklyn New York 11221",-73.927207,40.692737,BROOKLYN,11221,Spanish,17,B,1/21/2015
BIRCH,"750 Columbus Ave, Manhattan New York 10025",-73.967587,40.793337,MANHATTAN,10025,American ,8,A,1/21/2015
DUNKIN DONUTS,"1151 Fulton Street, Brooklyn New York 11216",-73.8756505,40.828877,BROOKLYN,11216,Donuts,12,A,1/21/2015
THE DEAD RABBIT,"30 Water Street, Manhattan New York 10004",-74.0110289,40.7033,MANHATTAN,10004,Irish,13,A,1/21/2015
DUNKIN' DONUTS,"250 Prospect Park W, Brooklyn New York 11215",-73.930981,40.5861965,BROOKLYN,11215,Café/Coffee/Tea,2,A,1/21/2015
GO GO THAI,"144 West 19 Street, Manhattan New York 10011",-73.9967385,40.7411299,MANHATTAN,10011,Thai,10,A,1/21/2015
ROCKEFELLER FOUNDATION,"420 5 Avenue, Manhattan New York 10018",-73.9833287,40.750837,MANHATTAN,10018,American ,5,A,1/21/2015
BRAZIL BRAZIL RESTUARANT,"330 West 46 Street, Manhattan New York 10036",-73.9892498,40.7601055,MANHATTAN,10036,Brazilian,13,A,1/20/2015
DON FILIPPO RESTAURANT,"1133 Lexington Avenue, Manhattan New York 10075",-73.958885,40.7745559,MANHATTAN,10075,Italian,7,A,1/20/2015
BURGER KING,"9283 Queens Boulevard, Queens New York 11374",-73.918484,40.640537,QUEENS,11374,Hamburgers,12,A,1/20/2015
CHINESE GOURMET,"1810 Cedar Avenue, Bronx New York 10453",-73.919879,40.852645,BRONX,10453,Chinese,7,A,1/20/2015
LORENZOS PIZZA,"1702 86Th St, Brooklyn New York 11214",-74.004912,40.608272,BROOKLYN,11214,Italian,8,A,1/20/2015
GRACE II CHINESE RESTAURANT,"136 Graham Avenue, Brooklyn New York 11206",-73.9427311,40.7061629,BROOKLYN,11206,Chinese,11,A,1/20/2015
INSOMNIA COOKIES,"1030 Amsterdam Ave, Manhattan New York 10025",-74.000443,40.729675,MANHATTAN,10025,Bakery,6,A,1/20/2015
REYS PIZZERIA & RERSTAURANT,"9513 Northern Blvd, Queens New York 11372",-73.8725926,40.7571129,QUEENS,11372,Pizza,16,B,1/20/2015
MAHAL KITA,"184 Havemeyer St, Brooklyn New York 11211",-73.9583177,40.7106468,BROOKLYN,11211,Indian,19,Z,1/20/2015
RIVOLI PIZZA II,"131 Christopher St, Manhattan New York 10014",-74.0067516,40.7331756,MANHATTAN,10014,Pizza,10,A,1/20/2015
SARABETH'S,"339 Greenwich Street, Manhattan New York 10013",-73.9843697,40.7424126,MANHATTAN,10013,American ,5,A,1/16/2015
M & W BAKERY,"85A Bayard Street, Manhattan New York 10013",-73.9990166,40.7157288,MANHATTAN,10013,Café/Coffee/Tea,7,A,1/16/2015
Chela & Garnacha,"3309 36Th Ave, Queens New York 11106",-73.9276742,40.7558022,QUEENS,11106,Mexican,10,A,1/16/2015
DUNKIN DONUTS,"1571 York Avenue, Manhattan New York 10028",-73.8756505,40.828877,MANHATTAN,10028,Donuts,12,A,1/16/2015
WEST ELM MARKET,"50 Washington Street, Brooklyn New York 11201",-73.9897522,40.7029349,BROOKLYN,11201,Café/Coffee/Tea,6,A,1/16/2015
ROYAL CARIBBEAN BAKERY & RESTAURANT,"3815 Dyre Ave, Bronx New York 10466",-73.8315849,40.8882206,BRONX,10466,Caribbean,14,B,1/15/2015
NEW YORK KIMCHI,"18 W 48Th St, Manhattan New York 10036",-73.979336,40.757684,MANHATTAN,10036,Korean,13,A,1/15/2015
FLOWER KARAOKE,"162-05 Crocheron Avenue, Queens New York 11358",-73.80317,40.762713,QUEENS,11358,Korean,4,A,1/15/2015
SANTO DOMINGO BAKERY,"93 Clinton Street, Manhattan New York 10002",-73.9855263,40.7185926,MANHATTAN,10002,Bakery,7,A,1/15/2015
INWOOD GOURMET,"95 Cooper Street, Manhattan New York 10034",-73.9214309,40.8686275,MANHATTAN,10034,American ,5,A,1/15/2015
CLUB FREEZE,"2178 Flatbush Ave, Brooklyn New York 11234",-73.9308932,40.6167337,BROOKLYN,11234,Caribbean,9,A,1/15/2015
PNS SOUL FOOD,"344 Franklin Ave, Brooklyn New York 11238",-73.9571449,40.6873361,BROOKLYN,11238,Soul Food,11,A,1/15/2015
SUBWAY,"1427 York Ave, Manhattan New York 10021",-73.987291,40.720863,MANHATTAN,10021,Sandwiches,7,A,1/15/2015
LIN'S CASA CHINESE RESTAURANT,"4617 5Th Ave, Brooklyn New York 11220",-74.0081409,40.6468741,BROOKLYN,11220,Chinese,7,A,1/15/2015
TONE AUTHENTIC GEORGIAN BAKERY & CUISINE,"265 Neptune Avenue, Brooklyn New York 11235",-73.9632701,40.5814973,BROOKLYN,11235,Eastern European,5,A,1/15/2015
CHECKERS,"133-18 Guy R Brewer Blvd, Queens New York 11434",-73.776524,40.6740852,QUEENS,11434,Other,7,A,1/15/2015
SUSHI SUSHI,"54 Tiemann Place, Manhattan New York 10027",-73.9594816,40.8152394,MANHATTAN,10027,Japanese,13,A,1/15/2015
LIBERTY POOL AND SPORTS HALL,"10907 Liberty Ave, Queens New York 11419",-73.8324026,40.6842562,QUEENS,11419,American ,4,A,1/15/2015
PIO BAGEL,"134 Lawrence St, Brooklyn New York 11201",-73.9864053,40.6920086,BROOKLYN,11201,Bagels/Pretzels,9,A,1/15/2015
TRATTORIA PESCHE PASTA,"262 Bleecker St Bsmt &1/Fl, Manhattan New York 10014",-75.2273597,43.1011896,MANHATTAN,10014,Italian,7,A,1/14/2015
KENNEDY FRIED CHICKEN,"1032 Nostrand Ave, Brooklyn New York 11225",-73.9084663,40.8474818,BROOKLYN,11225,American ,4,A,1/14/2015
EL NUEVO YAUCO RESTAURANT,"465A Bushwick Ave, Brooklyn New York 11206",-73.9365229,40.7015529,BROOKLYN,11206,Spanish,7,A,1/14/2015
TAQUERIA KERMES,"6636 Fresh Pond Road, Queens New York 11385",-73.8950776,40.702187,QUEENS,11385,Spanish,10,A,1/13/2015
FIVE GUYS BURGERS AND FRIES,"138 Montague Street, Brooklyn New York 11201",-73.9938384,40.6944331,BROOKLYN,11201,Hamburgers,2,A,1/13/2015
DUNKIN DONUTS,"1342 Amsterdam Avenue, Manhattan New York 10027",-73.8756505,40.828877,MANHATTAN,10027,Donuts,5,A,1/13/2015
GINA'S ITALIAN BAKERY & PASTRY SHOP,"766 Lydig Avenue, Bronx New York 10462",-73.8651654,40.8544354,BRONX,10462,Bakery,11,A,1/13/2015
Ramis Pizza Corp,"3005 Avenue K, Brooklyn New York 11210",-73.9461815,40.6246478,BROOKLYN,11210,Jewish/Kosher,13,A,1/13/2015
CREATIVE JUICE,"1 Park Ave, Manhattan New York 10016",-74.0100543,40.7141901,MANHATTAN,10016,"Juice, Smoothies, Fruit Salads",7,A,1/12/2015
ESSEN,"60 Madison Avenue, Manhattan New York 10010",-73.9864073,40.7432981,MANHATTAN,10010,American ,10,A,1/12/2015
LA CEIBA RESTAURANT,"571 East 141 Street, Bronx New York 10454",-73.9158543,40.8088052,BRONX,10454,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7,A,1/12/2015
PRET A MANGER,"389 5 Avenue, Manhattan New York 10016",-73.9803398,40.7509133,MANHATTAN,10016,Soups & Sandwiches,2,A,1/12/2015
PANDA DELIGHT CHINESE RESTAURANT,"121 Smith Street, Brooklyn New York 11201",-73.9896,40.687601,BROOKLYN,11201,Chinese,11,A,1/12/2015
BOCCONCINI,"25419 Northern Blvd, Queens New York 11362",-73.7347506,40.7718852,QUEENS,11362,Pizza/Italian,11,A,1/12/2015
HLY CHINESE CUISINE,"43-23 Main Street, Queens New York 11355",-73.826145,40.751983,QUEENS,11355,Chinese,21,Z,1/10/2015
H20 LOUNGE AND RESTAURANT,"153-33 Hillside Avenue, Queens New York 11432",-73.803199,40.707841,QUEENS,11432,American ,9,A,1/10/2015
ARTURO'S PIZZA,"5189A Broadway, Bronx New York 10463",-73.9103979,40.8745536,BRONX,10463,Pizza,10,A,1/9/2015
LITTLE COFFEE SHOP,"5915 71St Ave, Queens New York 11385",-73.8993144,40.7008419,QUEENS,11385,Café/Coffee/Tea,12,A,1/9/2015
GP SMOOTHIES & GIFTSHOP,"1152 Castle Hill Ave, Bronx New York 10462",-73.8506386,40.8310655,BRONX,10462,"Juice, Smoothies, Fruit Salads",17,B,1/9/2015
MR. PIZZA,"2325 Richmond Avenue, Staten Island New York 10314",-74.1661072,40.590571,STATEN ISLAND,10314,Pizza,12,A,1/8/2015
NEW UNITED II,"53 Rockaway Avenue, Brooklyn New York 11233",-73.9112026,40.6813437,BROOKLYN,11233,Chinese,10,A,1/8/2015
TRATTORIA ROMANA,"1476 Hylan Boulevard, Staten Island New York 10305",-74.087058,40.5922885,STATEN ISLAND,10305,Italian,11,A,1/8/2015
KRUST PIZZA,"226 East 14 Street, Manhattan New York 10003",-73.9862061,40.7326152,MANHATTAN,10003,Pizza,12,A,1/8/2015
BLUE CUPS,"3804 61St St, Queens New York 11377",-73.9026719,40.7475386,QUEENS,11377,Café/Coffee/Tea,9,A,1/7/2015
BOSSA NOVA CIVIC CLUB,"1271 Myrtle Avenue, Brooklyn New York 11221",-73.9279654,40.6979738,BROOKLYN,11221,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2,A,1/7/2015
GOOD TASTE RESTAURANT,"282 Lenox Avenue, Manhattan New York 10027",-74.150739,40.537489,MANHATTAN,10027,Chinese,10,A,1/7/2015
EXCELSIOR CATERING,"2380 Hylan Boulevard, Staten Island New York 10306",-74.1067495,40.572703,STATEN ISLAND,10306,American ,3,A,1/7/2015
JUICE GENERATION,"109 East 23 Street, Manhattan New York 10010",-73.9860177,40.7399808,MANHATTAN,10010,"Juice, Smoothies, Fruit Salads",4,A,1/7/2015
Gasoline Alley Coffee,"154 Grand St, Missing New York 10013",-74.0094471,40.7217861,MANHATTAN,10013,Café/Coffee/Tea,10,A,1/7/2015
SUBWAY,"4316 Ditmars Blvd, Queens New York 11105",-73.987291,40.720863,QUEENS,11105,Sandwiches/Salads/Mixed Buffet,5,A,1/7/2015
TBAAR,"36-09 Main Street, Queens New York 11354",-73.8290528,40.7593211,QUEENS,11354,"Juice, Smoothies, Fruit Salads",5,A,1/6/2015
RICHARD'S DINER & CATERING,"9112 Avenue L, Brooklyn New York 11236",-73.899084,40.635921,BROOKLYN,11236,Caribbean,10,A,1/6/2015
CHARO RESTAURANT 3,"10201 37 Avenue, Queens New York 11368",-73.86533,40.7531427,QUEENS,11368,Spanish,9,A,1/6/2015
HO MAY KITCHEN,"100 Woodpoint Road, Brooklyn New York 11211",-73.9408219,40.7185907,BROOKLYN,11211,Chinese,7,A,1/6/2015
CAFE EUPHORIA,"904 Kings Highway, Brooklyn New York 11223",-73.963462,40.606583,BROOKLYN,11223,Russian,11,A,1/6/2015
KENNEDY FRIED CHICKEN,"730 E 149Th St, Bronx New York 10455",-73.9084663,40.8474818,BRONX,10455,Chicken,2,A,1/6/2015
CHELSEA COTTAGE,"206 9Th Ave, Manhattan New York 10011",-74.001229,40.746025,MANHATTAN,10011,Asian,37,Z,1/6/2015
THE PARK,"118122 10 Avenue, Manhattan New York 10011",-74.0057669,40.7454906,MANHATTAN,10011,American ,3,A,1/5/2015
CAFE ZONA SUR,"4314 4 Avenue, Brooklyn New York 11232",-74.0091036,40.650248,BROOKLYN,11232,American ,9,A,1/5/2015
KFC,"8715 Northern Blvd, Missing New York 11372",-73.9859414,40.6195067,QUEENS,11372,Chicken,12,A,1/5/2015
TASTE OF LAHORE,"7310 Northern Boulevard, Queens New York 11372",-73.8933021,40.7545178,QUEENS,11372,Indian,12,A,1/5/2015
PARADISE BIRYANI POINTE AND GRAMERCY PIZZA PASTA,"77 Lexington Avenue, Manhattan New York 10010",-73.983216,40.741211,MANHATTAN,10010,Indian,26,B,1/5/2015
MAMALEE,"21312 48Th Avenue, Queens New York 11364",-73.767415,40.755368,QUEENS,11364,Asian,18,B,1/5/2015
ZONA ROSA,"571 Lorimer Street, Brooklyn New York 11211",-73.9496519,40.7139229,BROOKLYN,11211,Mexican,12,A,1/3/2015
THE PATH CAFE,"131 Christopher Street, Manhattan New York 10014",-74.0067516,40.7331756,MANHATTAN,10014,Café/Coffee/Tea,11,A,1/2/2015
DARI MEDITERRANEAN,"8518 3 Avenue, Brooklyn New York 11209",-74.031096,40.6239257,BROOKLYN,11209,Mediterranean,9,A,1/2/2015
WINK,"305 Bleecker Street, Manhattan New York 10014",-74.003612,40.7326849,MANHATTAN,10014,Café/Coffee/Tea,4,A,1/2/2015
LA NUEVA CARICIA RESTAURANT,"1693 Amsterdam Avenue, Manhattan New York 10031",-73.9481276,40.8245061,MANHATTAN,10031,Mexican,12,A,1/2/2015
SUBWAY,"170 7 Avenue South, Manhattan New York 10014",-73.987291,40.720863,MANHATTAN,10014,Sandwiches,4,A,1/2/2015
CALISTA SUPERFOODS,"1217 Lexington Avenue, Manhattan New York 10028",-73.9571289,40.7770858,MANHATTAN,10028,American ,10,A,1/2/2015
COLD CUT CITY BUNNY DELI 2,"228 W 231St St, Bronx New York 10463",-73.9058023,40.8792092,BRONX,10463,American ,25,B,1/2/2015
BRICK OVEN BREAD,"109 Brighton 11 Street, Brooklyn New York 11235",-73.9574374,40.5799239,BROOKLYN,11235,Bakery,4,A,8/15/2015
GIMME COFFEE,"495 Lorimer Street, Brooklyn New York 11211",-73.9492277,40.7116897,BROOKLYN,11211,Café/Coffee/Tea,2,A,8/15/2015
EL VINCENTINO RESTAURANTE SALVADORENO,"4337 162 Street, Queens New York 11358",-73.8016717,40.7108428,QUEENS,11358,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12,A,8/15/2015
MULHOLLAND'S,"312 Grand Street, Brooklyn New York 11211",-73.9571134,40.7126968,BROOKLYN,11211,American ,13,A,8/15/2015
MANGOS PARADISE SMOOTHIE,"31 West 183 Street, Bronx New York 10453",-73.9050357,40.8588581,BRONX,10453,"Juice, Smoothies, Fruit Salads",13,A,8/15/2015
PANERA BREAD,"2358 Bell Boulevard, Queens New York 11360",-73.7756234,40.7800192,QUEENS,11360,American ,13,A,8/15/2015
"ULTIMATE FITNESS, QUEENS","2650 Brooklyn Queens Expressway West, Queens New York 11377",-73.9022807,40.7613433,QUEENS,11377,American ,5,A,8/15/2015
ANELLA,"222 Franklin Street, Brooklyn New York 11222",-73.9579033,40.7332745,BROOKLYN,11222,Italian,13,A,8/15/2015
ONTARIO BAR,"559 Grand Street, Brooklyn New York 11211",-73.9492908,40.7113501,BROOKLYN,11211,American ,3,A,8/15/2015
VELVET ROPE LOUNGE,"32123214 Coney Island Avenue, Brooklyn New York 11235",-73.9629214,40.6125273,BROOKLYN,11235,Russian,6,A,8/15/2015
BOSTON MARKET,"2390 Bell Boulevard, Queens New York 11360",-73.7549323,40.7338779,QUEENS,11360,American ,5,A,8/15/2015
FAST & FRESH BURRITO,"84 Hoyt Street, Brooklyn New York 11201",-73.9870224,40.6880911,BROOKLYN,11201,Mexican,10,A,8/14/2015
AU BON PAIN,"60 Broad Street, Manhattan New York 10004",-74.0117503,40.7051602,MANHATTAN,10004,Sandwiches/Salads/Mixed Buffet,7,A,8/14/2015
FOOD MART DELI,"1321 York Avenue, Manhattan New York 10021",-73.954453,40.7658971,MANHATTAN,10021,Delicatessen,12,A,8/14/2015
JIMBOS HAMBURGER,"3869 10 Avenue, Manhattan New York 10034",-74.0093172,40.7400243,MANHATTAN,10034,Hamburgers,22,Z,8/14/2015
CIBAO RESTAURANT,"1542 Gates Avenue, Brooklyn New York 11237",-73.9122443,40.6991777,BROOKLYN,11237,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",23,Z,8/14/2015
NEW YORK PAO DE QUEIJO,"3190 30 Street, Queens New York 11106",-73.9377336,40.742802,QUEENS,11106,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7,A,8/14/2015
MOLLY'S CUPCAKES,"228 Bleecker Street, Manhattan New York 10014",-74.00255,40.730096,MANHATTAN,10014,Bakery,10,A,8/14/2015
BERGER'S ON THE GO,"2 East 39 Street, Manhattan New York 10016",-73.9819344,40.7512565,MANHATTAN,10016,Delicatessen,24,Z,8/14/2015
CHINA SUN,"787 Liberty Avenue, Brooklyn New York 11208",-73.8807,40.676949,BROOKLYN,11208,Chinese,9,A,8/14/2015
CROWN FRIED CHICKEN,"456 Sutter Avenue, Brooklyn New York 11212",-73.9021376,40.6680897,BROOKLYN,11212,Chicken,22,Z,8/14/2015
"DUNKIN' DONUTS, BASKIN ROBBINS","16822 Union Turnpike, Queens New York 11366",-73.7994769,40.7229711,QUEENS,11366,Donuts,12,A,8/14/2015
TACOS PUEBLA RESTAURANT,"2181 Grand Concourse, Bronx New York 10453",-73.9016061,40.8555109,BRONX,10453,Mexican,13,A,8/14/2015
CHATIME,"13655 Roosevelt Avenue, Queens New York 11354",-73.82813,40.76033,QUEENS,11354,Café/Coffee/Tea,18,Z,8/14/2015
MCDONALD'S,"2154 Nostrand Avenue, Brooklyn New York 11210",-73.947994,40.632331,BROOKLYN,11210,Hamburgers,11,A,8/14/2015
EL PASO TAQUERIA,"64 East 97 Street, Manhattan New York 10029",-73.952823,40.787287,MANHATTAN,10029,Mexican,31,Z,8/14/2015
ELSA LA REINA DEL CHICHARRON 3,"1 East 183 Street, Bronx New York 10453",-73.9033133,40.8587917,BRONX,10453,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12,A,8/14/2015
KENNEDY CHICKEN & PIZZA,"4049 Laconia Avenue, Bronx New York 10466",-73.8481623,40.8862729,BRONX,10466,American ,27,Z,8/14/2015
REYES RESTAURANT,"47-54 46 Street, Queens New York 11377",-73.8970824,40.774772,QUEENS,11377,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4,Z,8/14/2015
NUEVAS BRISAS DEL VALLE,"9014 37Th Ave, Queens New York 11372",-73.8763388,40.7504371,QUEENS,11372,Spanish,12,A,8/14/2015
LA MORENA FOOD,"1151 Tiffany Street, Bronx New York 10459",-73.8950685,40.8275743,BRONX,10459,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10,A,8/14/2015
SUPERKING GOURMET DELI,"3214 3 Avenue, Bronx New York 10451",-73.908896,40.823127,BRONX,10451,Delicatessen,2,A,8/14/2015
DONA BELLA  PIZZA,"154 Church Street, Manhattan New York 10007",-74.0115091,40.7099225,MANHATTAN,10007,Pizza,7,A,8/14/2015
TRIPLE A DINER,"2061 2 Avenue, Manhattan New York 10029",-73.942769,40.790568,MANHATTAN,10029,American ,21,Z,8/14/2015
SUBWAY,"563 Lenox Avenue, Manhattan New York 10037",-73.9392905,40.8164177,MANHATTAN,10037,Sandwiches,12,A,8/14/2015
PRET A MANGER,"179 Broadway, Manhattan New York 10007",-74.0100485,40.7101892,MANHATTAN,10007,American ,8,A,8/14/2015
SPA CASTLE/JUICE FARM/STARBUCKS,"1111 131 Street, Queens New York 11356",-73.836899,40.787459,QUEENS,11356,American ,24,Z,8/14/2015
LANO'S COFFEE SHOP & RESTAURANT,"107 3 Avenue, Brooklyn New York 11217",-73.9820432,40.6828371,BROOKLYN,11217,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",23,Z,8/14/2015
TAQUERIA IZUCAR,"1503 Myrtle Avenue, Brooklyn New York 11237",-73.9156265,40.6992749,BROOKLYN,11237,Mexican,25,Z,8/14/2015
CAPITOL RESTAURANT,"4933 Broadway, Manhattan New York 10034",-73.9215284,40.8678204,MANHATTAN,10034,American ,10,A,8/14/2015
MALAPARTE,"753 Washington Street, Manhattan New York 10014",-74.008038,40.736869,MANHATTAN,10014,Italian,13,A,8/14/2015
EAST MARKET DINER,"2592 Atlantic Avenue, Brooklyn New York 11207",-73.8985543,40.6754106,BROOKLYN,11207,American ,3,A,8/14/2015
RURAL CHINESE RESTAURANT,"4285 Main Street, Queens New York 11355",-73.8203875,40.7241874,QUEENS,11355,Chinese,7,A,8/14/2015
M&R DELI & COFFEE SHOP,"1480 Williamsbridge Road, Bronx New York 10461",-73.845479,40.844184,BRONX,10461,Delicatessen,5,A,8/14/2015
FLORIDITA RESTAURANT UPTOWN 2 INC,"3856 10 Avenue, Manhattan New York 10034",-74.0093173,40.7400243,MANHATTAN,10034,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,A,8/14/2015
WEN MING CHINESE RESTAURANT,"3318 21 Street, Queens New York 11106",-73.9325615,40.7643172,QUEENS,11106,Chinese,7,A,8/14/2015
DUNKIN' DONUTS,"4353 Broadway, Manhattan New York 10033",-73.9343528,40.8535989,MANHATTAN,10033,Donuts,10,A,8/14/2015
CHIPOTLE MEXICAN GRILL,"117 East 14 Street, Manhattan New York 10003",-73.9889492,40.7342618,MANHATTAN,10003,Mexican,7,A,8/14/2015
CAFE KITCHEN (CENTERPLATE CAFE AND KITCHEN),"655 West 34 Street, Manhattan New York 10001",-74.0024849,40.7579217,MANHATTAN,10001,American ,12,A,8/14/2015
THE HEIGHTS BAR & RESTAURANT,"203 Audubon Ave, Manhattan New York 10033",-73.9348671,40.8450879,MANHATTAN,10033,Spanish,9,A,8/14/2015
MCDONALD'S,"37-19 Junction Boulevard, Queens New York 11368",-73.870248,40.7511129,QUEENS,11368,Hamburgers,7,A,8/14/2015
KOSHER PIZZAMANIA CORP,"7749 Vleigh Pl, Queens New York 11367",-73.8204377,40.7198756,QUEENS,11367,Pizza,19,Z,8/14/2015
SUKHUMVIT 51,"224 E 51St St, Manhattan New York 10022",-73.9694314,40.7558742,MANHATTAN,10022,Thai,13,A,8/14/2015
